# Nine Letters-puzzle list
# Format: word-clue
# - word must be exactly 9 letters
# - the centre letter is chosen randomly each time the puzzle is played
# - clue is a short hint describing the 9-letter word

scrambler|Mixes letters beyond recognition
carpenter|A craftsperson who works with wood
chocolate|A sweet treat made from cacao
adventure|A novel undertaking
blackbird|A dark-feathered garden songbird
generator|A machine that produces electricity
australia|The land down under
birthdays|Annual celebrations with cake and candles
forgotten|Slipped completely from memory
databases|Organised collections of stored information
ABANDONED|Left behind
ACCESSORY|Fashion add‑on
ACCIDENTS|Unplanned mishaps
ACCLAIMED|Praised highly
ACCORDING|As stated by
ACCOUNTED|Explained or justified
ACHIEVING|Reaching a goal
ACTIVATED|Switched on
ADMISSION|Entry permission
ADVENTURE|Exciting experience
AEROPLANE|Aircraft with wings
AFFECTION|Warm fondness
AFTERNOON|Midday to evening period
AGREEMENT|Mutual understanding
AIRSTRIKE|Attack from the air
ALUMINIUM|Lightweight metal
AMBITIOUS|Strongly determined
AMENDMENT|Formal change
AMUSEMENT|Entertainment or fun
ANCHORING|Securing in place
APARTMENT|Self‑contained flat
APPEARING|Coming into view
APPLICANT|Person seeking a position
APPROVING|Giving consent
ARCHITECT|Building designer
ARGUMENTS|Verbal disputes
ARMCHAIRS|Padded single seats
ASSISTANT|Helper or aide
ATTENDING|Being present
ATTENTION|Focused notice
ATTRIBUTE|Quality or trait
AUDIOBOOK|Spoken‑word recording
AUTHORITY|Power or control
AVAILABLE|Ready for use
BACKPACKS|Bags worn on the back
BACKYARDS|Areas behind houses
BALLERINA|Female ballet dancer
BANKNOTES|Paper currency
BASEBOARD|Floor‑level trim
BEAUTIFUL|Pleasing to the eye
BEGINNING|Start or origin
BEHAVIOUR|Manner of acting
BELONGING|Feeling of acceptance
BIRTHDAYS|Annual celebrations
BLACKENED|Made dark
BLACKOUTS|Power failures
BLUEBERRY|Small blue fruit
BOOKSHOPS|Stores selling books
BOOKSHELF|Shelf for books
BRACELETS|Wrist ornaments
BREAKFAST|Morning meal
BREATHING|Taking in air
BRILLIANT|Exceptionally clever
BROADCAST|Transmit publicly
BROCHURES|Informational leaflets
BUSHFIRES|Wildfires in scrubland
BUTTERFLY|Winged insect
CAMPFIRES|Outdoor fires
CANDIDATE|Person running for office
CAREFULLY|With caution
CARPENTRY|Woodworking trade
CELEBRATE|Mark an occasion
CELLPHONE|Mobile device
CENTENARY|Hundred‑year anniversary
CERTAINTY|Absolute confidence
CHALLENGE|Difficult task
CHOCOLATE|Sweet cocoa treat
CLASSROOM|Teaching space
CLEANINGS|Acts of tidying
CLEARANCE|Official approval or removal
CLEVEREST|Most intelligent
CLIPBOARD|Writing pad with a clip
COASTLINE|Edge of the land
COCKATOOS|Crested parrots
COLLEAGUE|Workmate
COLLECTED|Gathered together
COLOURFUL|Full of bright hues
COLOUREDS|People of mixed heritage (historical term)
COMBINING|Joining together
COMMITTEE|Organised group
COMMUNITY|Local population
COMPANION|Close friend
COMPLAINT|Expression of dissatisfaction
COMPLETED|Finished fully
COMPUTERS|Electronic devices
CONCLUDED|Brought to an end
CONDITION|State of something
CONFIDENT|Self‑assured
CONSCIOUS|Aware and alert
CONTAINER|Storage vessel
CONTINENT|Large landmass
CONTINUED|Carried on
CONVINCED|Persuaded fully
COPYRIGHT|Legal protection of work
COUNCILOR|Local government member
COURTYARD|Open area in a building
CREATURES|Living beings
CROSSWALK|Pedestrian crossing
DANGEROUS|Unsafe or risky
DAYDREAMS|Pleasant fantasies
DECISIONS|Choices made
DECREASED|Made smaller
DELICIOUS|Tasting very good
DELIGHTED|Very pleased
DEMOCRACY|Government by the people
DEPENDENT|Relying on others
DEPOSITED|Placed into an account
DESCRIBED|Explained in words
DESIGNERS|Creative planners
DIFFERENT|Not the same
DIRECTION|Course or path
DISCOVERY|Finding something new
DISRUPTED|Interrupted or disturbed
DIVERSION|Detour or distraction
EDUCATION|Learning process
EFFECTIVE|Producing results
EFFICIENT|Working productively
ELECTORAL|Relating to voting
ELEPHANTS|Large grey mammals
EMERGENCY|Urgent situation
EMOTIONAL|Full of feeling
EMPHASISE|Stress or highlight
ENGINEERS|Technical professionals
ENJOYABLE|Pleasant or fun
EQUIPMENT|Necessary tools
